id,title,rating,genre,year
tt0369610,Jurassic World,6.9,"Action, Adventure, Sci-Fi",2015
tt3774694,Love,6.1,"Drama, Romance",2015
tt2361509,The Intern,7.1,"Comedy, Drama",2015
tt2381249,Mission: Impossible - Rogue Nation,7.4,"Action, Adventure, Thriller",2015
tt3460252,The Hateful Eight,7.8,"Crime, Drama, Mystery",2015
tt1392190,Mad Max: Fury Road,8.1,"Action, Adventure, Sci-Fi",2015
tt3397884,Sicario,7.7,"Action, Crime, Drama",2015
tt1596363,The Big Short,7.8,"Biography, Comedy, Drama",2015
tt3659388,The Martian,8.0,"Adventure, Drama, Sci-Fi",2015
tt1663202,The Revenant,8.0,"Adventure, Drama, Western",2015
tt2140379,Self/less,6.5,"Action, Mystery, Sci-Fi",2015
tt2494362,Bone Tomahawk,7.1,"Drama, Horror, Western",2015
tt4263482,The Witch,7.0,"Drama, Fantasy, Horror",2015
tt2395427,Avengers: Age of Ultron,7.3,"Action, Adventure, Sci-Fi",2015
tt3569230,Legend,6.9,"Biography, Crime, Drama",2015
tt1895587,Spotlight,8.1,"Biography, Crime, Drama",2015
tt1638355,The Man from U.N.C.L.E.,7.2,"Action, Adventure, Comedy",2015
tt2488496,Star Wars: Episode VII - The Force Awakens,7.8,"Action, Adventure, Sci-Fi",2015
tt3464902,The Lobster,7.1,"Drama, Romance, Sci-Fi",2015
tt3076658,Creed,7.6,"Action, Drama, Sport",2015
tt2096673,Inside Out,8.1,"Animation, Adventure, Comedy",2015
tt2379713,Spectre,6.8,"Action, Adventure, Thriller",2015
tt0478970,Ant-Man,7.2,"Action, Comedy, Sci-Fi",2015
tt1951266,The Hunger Games: Mockingjay - Part 2,6.6,"Action, Adventure, Sci-Fi",2015
tt1661199,Cinderella,6.9,"Adventure, Drama, Family",2015
tt2140479,The Accountant,7.3,"Action, Crime, Drama",2016
tt3748528,Rogue One: A Star Wars Story,7.8,"Action, Adventure, Sci-Fi",2016
tt2543164,Arrival,7.9,"Drama, Mystery, Sci-Fi",2016
